[INFO] [1635290312.034730]: time = 0.7215, name = right_w1,  value = -0.25272
[INFO] [1635290312.035015]: time = 0.7215, name = right_w2,  value = -2.00300
[INFO] [1635290312.041361]: time = 0.7295, name = left_s0,  value = -0.63545
[INFO] [1635290312.042101]: time = 0.7295, name = left_s1,  value = -0.15378
[INFO] [1635290312.042448]: time = 0.7295, name = left_e0,  value = -0.08092
[INFO] [1635290312.042762]: time = 0.7295, name = left_e1,  value = 1.81432
[INFO] [1635290312.043082]: time = 0.7295, name = left_w0,  value = -0.24045
[INFO] [1635290312.043422]: time = 0.7295, name = left_w1,  value = -0.29146
[INFO] [1635290312.043786]: time = 0.7295, name = left_w2,  value = 1.99264
[INFO] [1635290312.044127]: time = 0.7324, name = right_s0,  value = 0.63315
[INFO] [1635290312.044459]: time = 0.7324, name = right_s1,  value = -0.16567
[INFO] [1635290312.044770]: time = 0.7324, name = right_e0,  value = 0.08475
[INFO] [1635290312.045098]: time = 0.7324, name = right_e1,  value = 1.81815
[INFO] [1635290312.045434]: time = 0.7324, name = right_w0,  value = 0.16375
[INFO] [1635290312.045731]: time = 0.7324, name = right_w1,  value = -0.25694
[INFO] [1635290312.046019]: time = 0.7324, name = right_w2,  value = -1.99801
[INFO] [1635290312.051048]: time = 0.7393, name = left_s0,  value = -0.63430
[INFO] [1635290312.051526]: time = 0.7393, name = left_s1,  value = -0.15455
[INFO] [1635290312.052217]: time = 0.7393, name = left_e0,  value = -0.08245
[INFO] [1635290312.052569]: time = 0.7393, name = left_e1,  value = 1.81508
[INFO] [1635290312.052911]: time = 0.7393, name = left_w0,  value = -0.23853
[INFO] [1635290312.053311]: time = 0.7393, name = left_w1,  value = -0.29491
[INFO] [1635290312.053665]: time = 0.7393, name = left_w2,  value = 1.98919
[INFO] [1635290312.053986]: time = 0.7423, name = right_s0,  value = 0.63162
[INFO] [1635290312.054258]: time = 0.7423, name = right_s1,  value = -0.16605
[INFO] [1635290312.054578]: time = 0.7423, name = right_e0,  value = 0.08590
[INFO] [1635290312.054902]: time = 0.7423, name = right_e1,  value = 1.81700
[INFO] [1635290312.055202]: time = 0.7423, name = right_w0,  value = 0.15417
[INFO] [1635290312.055470]: time = 0.7423, name = right_w1,  value = -0.25848
[INFO] [1635290312.055755]: time = 0.7423, name = right_w2,  value = -1.99456
[INFO] [1635290312.060918]: time = 0.7492, name = left_s0,  value = -0.63468
[INFO] [1635290312.061383]: time = 0.7492, name = left_s1,  value = -0.15532
[INFO] [1635290312.061895]: time = 0.7492, name = left_e0,  value = -0.08360
[INFO] [1635290312.062177]: time = 0.7492, name = left_e1,  value = 1.81317
[INFO] [1635290312.062449]: time = 0.7492, name = left_w0,  value = -0.23662
[INFO] [1635290312.062776]: time = 0.7492, name = left_w1,  value = -0.29721
[INFO] [1635290312.063082]: time = 0.7492, name = left_w2,  value = 1.98689
[INFO] [1635290312.063367]: time = 0.7517, name = right_s0,  value = 0.63123
[INFO] [1635290312.063652]: time = 0.7517, name = right_s1,  value = -0.16720
[INFO] [1635290312.063980]: time = 0.7517, name = right_e0,  value = 0.08744
[INFO] [1635290312.064280]: time = 0.7517, name = right_e1,  value = 1.81547
[INFO] [1635290312.064580]: time = 0.7517, name = right_w0,  value = 0.14304
[INFO] [1635290312.064850]: time = 0.7517, name = right_w1,  value = -0.25924
[INFO] [1635290312.065134]: time = 0.7517, name = right_w2,  value = -1.99187
[INFO] [1635290312.071048]: time = 0.7593, name = left_s0,  value = -0.63277
[INFO] [1635290312.071526]: time = 0.7593, name = left_s1,  value = -0.15532
[INFO] [1635290312.072160]: time = 0.7593, name = left_e0,  value = -0.08590
[INFO] [1635290312.072696]: time = 0.7593, name = left_e1,  value = 1.81201
[INFO] [1635290312.073179]: time = 0.7593, name = left_w0,  value = -0.23547
[INFO] [1635290312.073518]: time = 0.7593, name = left_w1,  value = -0.29874
[INFO] [1635290312.073823]: time = 0.7593, name = left_w2,  value = 1.98459
[INFO] [1635290312.074112]: time = 0.7624, name = right_s0,  value = 0.63162
[INFO] [1635290312.074384]: time = 0.7624, name = right_s1,  value = -0.16759
[INFO] [1635290312.074712]: time = 0.7624, name = right_e0,  value = 0.08859
[INFO] [1635290312.075014]: time = 0.7624, name = right_e1,  value = 1.81508
[INFO] [1635290312.075329]: time = 0.7624, name = right_w0,  value = 0.13116
[INFO] [1635290312.075628]: time = 0.7624, name = right_w1,  value = -0.26193
[INFO] [1635290312.075917]: time = 0.7624, name = right_w2,  value = -1.98996
[INFO] [1635290312.081100]: time = 0.7694, name = left_s0,  value = -0.63238
[INFO] [1635290312.081381]: time = 0.7694, name = left_s1,  value = -0.15608
[INFO] [1635290312.082100]: time = 0.7694, name = left_e0,  value = -0.08782
[INFO] [1635290312.082579]: time = 0.7694, name = left_e1,  value = 1.81125
[INFO] [1635290312.083095]: time = 0.7694, name = left_w0,  value = -0.23432
[INFO] [1635290312.083603]: time = 0.7694, name = left_w1,  value = -0.30104
[INFO] [1635290312.084040]: time = 0.7694, name = left_w2,  value = 1.98420
[INFO] [1635290312.084514]: time = 0.7728, name = right_s0,  value = 0.63200
[INFO] [1635290312.084829]: time = 0.7728, name = right_s1,  value = -0.16912
[INFO] [1635290312.085360]: time = 0.7728, name = right_e0,  value = 0.09050
[INFO] [1635290312.085690]: time = 0.7728, name = right_e1,  value = 1.81278
[INFO] [1635290312.086072]: time = 0.7728, name = right_w0,  value = 0.12003
[INFO] [1635290312.086398]: time = 0.7728, name = right_w1,  value = -0.26500
[INFO] [1635290312.087289]: time = 0.7728, name = right_w2,  value = -1.98804
[INFO] [1635290312.091238]: time = 0.7795, name = left_s0,  value = -0.63162
[INFO] [1635290312.091978]: time = 0.7795, name = left_s1,  value = -0.15723
[INFO] [1635290312.092309]: time = 0.7795, name = left_e0,  value = -0.09012
[INFO] [1635290312.092593]: time = 0.7795, name = left_e1,  value = 1.80933
[INFO] [1635290312.092876]: time = 0.7795, name = left_w0,  value = -0.23508
[INFO] [1635290312.093217]: time = 0.7795, name = left_w1,  value = -0.30373
[INFO] [1635290312.093542]: time = 0.7795, name = left_w2,  value = 1.98382
[INFO] [1635290312.093827]: time = 0.7821, name = right_s0,  value = 0.63047
[INFO] [1635290312.094100]: time = 0.7821, name = right_s1,  value = -0.16835
[INFO] [1635290312.094397]: time = 0.7821, name = right_e0,  value = 0.09127
[INFO] [1635290312.094711]: time = 0.7821, name = right_e1,  value = 1.81048
[INFO] [1635290312.095038]: time = 0.7821, name = right_w0,  value = 0.10853
[INFO] [1635290312.095317]: time = 0.7821, name = right_w1,  value = -0.26691
[INFO] [1635290312.095599]: time = 0.7821, name = right_w2,  value = -1.98612
[INFO] [1635290312.100982]: time = 0.7893, name = left_s0,  value = -0.63047
[INFO] [1635290312.101435]: time = 0.7893, name = left_s1,  value = -0.15762
[INFO] [1635290312.102058]: time = 0.7893, name = left_e0,  value = -0.09166
[INFO] [1635290312.102424]: time = 0.7893, name = left_e1,  value = 1.80741
[INFO] [1635290312.102698]: time = 0.7893, name = left_w0,  value = -0.23432
[INFO] [1635290312.103035]: time = 0.7893, name = left_w1,  value = -0.30411
[INFO] [1635290312.103321]: time = 0.7893, name = left_w2,  value = 1.98305
[INFO] [1635290312.103623]: time = 0.7919, name = right_s0,  value = 0.63047
[INFO] [1635290312.103840]: time = 0.7919, name = right_s1,  value = -0.16912
[INFO] [1635290312.104086]: time = 0.7919, name = right_e0,  value = 0.09319
[INFO] [1635290312.104388]: time = 0.7919, name = right_e1,  value = 1.80665
[INFO] [1635290312.104658]: time = 0.7919, name = right_w0,  value = 0.09702
[INFO] [1635290312.104847]: time = 0.7919, name = right_w1,  value = -0.26845
[INFO] [1635290312.105040]: time = 0.7919, name = right_w2,  value = -1.98574
[INFO] [1635290312.111079]: time = 0.7993, name = left_s0,  value = -0.62932
[INFO] [1635290312.111435]: time = 0.7993, name = left_s1,  value = -0.15838
[INFO] [1635290312.112008]: time = 0.7993, name = left_e0,  value = -0.09357
[INFO] [1635290312.112307]: time = 0.7993, name = left_e1,  value = 1.80358
[INFO] [1635290312.112698]: time = 0.7993, name = left_w0,  value = -0.23393
[INFO] [1635290312.112921]: time = 0.7993, name = left_w1,  value = -0.30411
[INFO] [1635290312.113142]: time = 0.7993, name = left_w2,  value = 1.98420
[INFO] [1635290312.113339]: time = 0.8017, name = right_s0,  value = 0.63085
[INFO] [1635290312.113526]: time = 0.8017, name = right_s1,  value = -0.17066
[INFO] [1635290312.113729]: time = 0.8017, name = right_e0,  value = 0.09357
[INFO] [1635290312.113935]: time = 0.8017, name = right_e1,  value = 1.80396
[INFO] [1635290312.114136]: time = 0.8017, name = right_w0,  value = 0.08552
[INFO] [1635290312.114337]: time = 0.8017, name = right_w1,  value = -0.26806
[INFO] [1635290312.114545]: time = 0.8017, name = right_w2,  value = -1.98497
[INFO] [1635290312.121013]: time = 0.8093, name = left_s0,  value = -0.62932
[INFO] [1635290312.121287]: time = 0.8093, name = left_s1,  value = -0.15877
[INFO] [1635290312.121553]: time = 0.8093, name = left_e0,  value = -0.09626
[INFO] [1635290312.122161]: time = 0.8093, name = left_e1,  value = 1.80089
[INFO] [1635290312.122422]: time = 0.8093, name = left_w0,  value = -0.23355
[INFO] [1635290312.122649]: time = 0.8093, name = left_w1,  value = -0.30296
[INFO] [1635290312.122876]: time = 0.8093, name = left_w2,  value = 1.98382
[INFO] [1635290312.123092]: time = 0.8114, name = right_s0,  value = 0.63200
[INFO] [1635290312.123307]: time = 0.8114, name = right_s1,  value = -0.17066
[INFO] [1635290312.123518]: time = 0.8114, name = right_e0,  value = 0.09357
[INFO] [1635290312.123724]: time = 0.8114, name = right_e1,  value = 1.80089
[INFO] [1635290312.123929]: time = 0.8114, name = right_w0,  value = 0.07401
[INFO] [1635290312.124114]: time = 0.8114, name = right_w1,  value = -0.26653
[INFO] [1635290312.124302]: time = 0.8114, name = right_w2,  value = -1.98535
[INFO] [1635290312.131194]: time = 0.8194, name = left_s0,  value = -0.62701
[INFO] [1635290312.132041]: time = 0.8194, name = left_s1,  value = -0.16030
[INFO] [1635290312.132485]: time = 0.8194, name = left_e0,  value = -0.09741
[INFO] [1635290312.132830]: time = 0.8194, name = left_e1,  value = 1.79898
[INFO] [1635290312.133131]: time = 0.8194, name = left_w0,  value = -0.23508
[INFO] [1635290312.133506]: time = 0.8194, name = left_w1,  value = -0.30258
[INFO] [1635290312.133936]: time = 0.8194, name = left_w2,  value = 1.98459
[INFO] [1635290312.134382]: time = 0.8226, name = right_s0,  value = 0.63200
[INFO] [1635290312.134749]: time = 0.8226, name = right_s1,  value = -0.17181
[INFO] [1635290312.135139]: time = 0.8226, name = right_e0,  value = 0.09587
[INFO] [1635290312.135497]: time = 0.8226, name = right_e1,  value = 1.79744
[INFO] [1635290312.135847]: time = 0.8226, name = right_w0,  value = 0.06328
[INFO] [1635290312.136163]: time = 0.8226, name = right_w1,  value = -0.26576
[INFO] [1635290312.136480]: time = 0.8226, name = right_w2,  value = -1.98497
[INFO] [1635290312.141027]: time = 0.8293, name = left_s0,  value = -0.62586
[INFO] [1635290312.141331]: time = 0.8293, name = left_s1,  value = -0.16145
[INFO] [1635290312.141847]: time = 0.8293, name = left_e0,  value = -0.09971
[INFO] [1635290312.142119]: time = 0.8293, name = left_e1,  value = 1.79629
[INFO] [1635290312.142369]: time = 0.8293, name = left_w0,  value = -0.23355
[INFO] [1635290312.142668]: time = 0.8293, name = left_w1,  value = -0.30219
[INFO] [1635290312.142921]: time = 0.8293, name = left_w2,  value = 1.98344
[INFO] [1635290312.143166]: time = 0.8315, name = right_s0,  value = 0.63047
[INFO] [1635290312.143391]: time = 0.8315, name = right_s1,  value = -0.17334
[INFO] [1635290312.143662]: time = 0.8315, name = right_e0,  value = 0.09702
[INFO] [1635290312.143915]: time = 0.8315, name = right_e1,  value = 1.79476
[INFO] [1635290312.144165]: time = 0.8315, name = right_w0,  value = 0.05369
[INFO] [1635290312.144386]: time = 0.8315, name = right_w1,  value = -0.26691
[INFO] [1635290312.144603]: time = 0.8315, name = right_w2,  value = -1.98497
[INFO] [1635290312.151064]: time = 0.8393, name = left_s0,  value = -0.62471
[INFO] [1635290312.151828]: time = 0.8393, name = left_s1,  value = -0.16299
[INFO] [1635290312.152124]: time = 0.8393, name = left_e0,  value = -0.10163
[INFO] [1635290312.152365]: time = 0.8393, name = left_e1,  value = 1.79361
[INFO] [1635290312.152608]: time = 0.8393, name = left_w0,  value = -0.23393
[INFO] [1635290312.152868]: time = 0.8393, name = left_w1,  value = -0.30181
[INFO] [1635290312.153136]: time = 0.8393, name = left_w2,  value = 1.98305
[INFO] [1635290312.153374]: time = 0.8417, name = right_s0,  value = 0.63123
[INFO] [1635290312.153601]: time = 0.8417, name = right_s1,  value = -0.17411
[INFO] [1635290312.153851]: time = 0.8417, name = right_e0,  value = 0.09817
[INFO] [1635290312.154113]: time = 0.8417, name = right_e1,  value = 1.79207
[INFO] [1635290312.154361]: time = 0.8417, name = right_w0,  value = 0.04525
[INFO] [1635290312.154600]: time = 0.8417, name = right_w1,  value = -0.26768
[INFO] [1635290312.154833]: time = 0.8417, name = right_w2,  value = -1.98497
[INFO] [1635290312.161031]: time = 0.8493, name = left_s0,  value = -0.62433
[INFO] [1635290312.161449]: time = 0.8493, name = left_s1,  value = -0.16375
[INFO] [1635290312.161980]: time = 0.8493, name = left_e0,  value = -0.10316
[INFO] [1635290312.162343]: time = 0.8493, name = left_e1,  value = 1.79054
[INFO] [1635290312.162618]: time = 0.8493, name = left_w0,  value = -0.23278
[INFO] [1635290312.162935]: time = 0.8493, name = left_w1,  value = -0.30143
[INFO] [1635290312.163255]: time = 0.8493, name = left_w2,  value = 1.98382
[INFO] [1635290312.163558]: time = 0.8518, name = right_s0,  value = 0.63123
[INFO] [1635290312.163862]: time = 0.8518, name = right_s1,  value = -0.17564
[INFO] [1635290312.164204]: time = 0.8518, name = right_e0,  value = 0.09894
[INFO] [1635290312.164489]: time = 0.8518, name = right_e1,  value = 1.78939
[INFO] [1635290312.164791]: time = 0.8518, name = right_w0,  value = 0.03451
[INFO] [1635290312.165075]: time = 0.8518, name = right_w1,  value = -0.26806
[INFO] [1635290312.165351]: time = 0.8518, name = right_w2,  value = -1.98497
[INFO] [1635290312.171123]: time = 0.8594, name = left_s0,  value = -0.62356
[INFO] [1635290312.172031]: time = 0.8594, name = left_s1,  value = -0.16529
[INFO] [1635290312.172375]: time = 0.8594, name = left_e0,  value = -0.10546
[INFO] [1635290312.172680]: time = 0.8594, name = left_e1,  value = 1.78824
[INFO] [1635290312.172979]: time = 0.8594, name = left_w0,  value = -0.23393
[INFO] [1635290312.173320]: time = 0.8594, name = left_w1,  value = -0.30104
[INFO] [1635290312.173643]: time = 0.8594, name = left_w2,  value = 1.98382
[INFO] [1635290312.173977]: time = 0.8623, name = right_s0,  value = 0.63315
[INFO] [1635290312.174283]: time = 0.8623, name = right_s1,  value = -0.17679
[INFO] [1635290312.174635]: time = 0.8623, name = right_e0,  value = 0.10048
[INFO] [1635290312.174960]: time = 0.8623, name = right_e1,  value = 1.78709
[INFO] [1635290312.175283]: time = 0.8623, name = right_w0,  value = 0.02416
[INFO] [1635290312.175581]: time = 0.8623, name = right_w1,  value = -0.26845
[INFO] [1635290312.175872]: time = 0.8623, name = right_w2,  value = -1.98420
[INFO] [1635290312.180967]: time = 0.8692, name = left_s0,  value = -0.62203
[INFO] [1635290312.181480]: time = 0.8692, name = left_s1,  value = -0.16759
[INFO] [1635290312.182120]: time = 0.8692, name = left_e0,  value = -0.10623
[INFO] [1635290312.182440]: time = 0.8692, name = left_e1,  value = 1.78517
[INFO] [1635290312.182752]: time = 0.8692, name = left_w0,  value = -0.23393
[INFO] [1635290312.183109]: time = 0.8692, name = left_w1,  value = -0.29989
[INFO] [1635290312.183449]: time = 0.8692, name = left_w2,  value = 1.98382
[INFO] [1635290312.183841]: time = 0.8721, name = right_s0,  value = 0.63162
[INFO] [1635290312.184166]: time = 0.8721, name = right_s1,  value = -0.17756
[INFO] [1635290312.184505]: time = 0.8721, name = right_e0,  value = 0.10163
[INFO] [1635290312.184793]: time = 0.8721, name = right_e1,  value = 1.78249
[INFO] [1635290312.185090]: time = 0.8721, name = right_w0,  value = 0.01419
[INFO] [1635290312.185362]: time = 0.8721, name = right_w1,  value = -0.26768
[INFO] [1635290312.185634]: time = 0.8721, name = right_w2,  value = -1.98305
[INFO] [1635290312.191163]: time = 0.8794, name = left_s0,  value = -0.62203
[INFO] [1635290312.191489]: time = 0.8794, name = left_s1,  value = -0.16912
[INFO] [1635290312.192103]: time = 0.8794, name = left_e0,  value = -0.10815
[INFO] [1635290312.192439]: time = 0.8794, name = left_e1,  value = 1.78249
[INFO] [1635290312.192714]: time = 0.8794, name = left_w0,  value = -0.23355
[INFO] [1635290312.193053]: time = 0.8794, name = left_w1,  value = -0.29874
[INFO] [1635290312.193359]: time = 0.8794, name = left_w2,  value = 1.98305
[INFO] [1635290312.193665]: time = 0.8820, name = right_s0,  value = 0.63085
[INFO] [1635290312.193939]: time = 0.8820, name = right_s1,  value = -0.17986
[INFO] [1635290312.194233]: time = 0.8820, name = right_e0,  value = 0.10239
[INFO] [1635290312.194556]: time = 0.8820, name = right_e1,  value = 1.77903
[INFO] [1635290312.194862]: time = 0.8820, name = right_w0,  value = 0.00499
[INFO] [1635290312.195145]: time = 0.8820, name = right_w1,  value = -0.26768
[INFO] [1635290312.195414]: time = 0.8820, name = right_w2,  value = -1.98267
[INFO] [1635290312.201168]: time = 0.8894, name = left_s0,  value = -0.62165
[INFO] [1635290312.202269]: time = 0.8894, name = left_s1,  value = -0.17027
[INFO] [1635290312.202692]: time = 0.8894, name = left_e0,  value = -0.10930
[INFO] [1635290312.203027]: time = 0.8894, name = left_e1,  value = 1.78018
[INFO] [1635290312.203319]: time = 0.8894, name = left_w0,  value = -0.23355
[INFO] [1635290312.203652]: time = 0.8894, name = left_w1,  value = -0.30104
[INFO] [1635290312.203935]: time = 0.8894, name = left_w2,  value = 1.98344
[INFO] [1635290312.204213]: time = 0.8925, name = right_s0,  value = 0.63353
[INFO] [1635290312.204489]: time = 0.8925, name = right_s1,  value = -0.18101
[INFO] [1635290312.204794]: time = 0.8925, name = right_e0,  value = 0.10393
[INFO] [1635290312.205119]: time = 0.8925, name = right_e1,  value = 1.77673
[INFO] [1635290312.205469]: time = 0.8925, name = right_w0,  value = -0.00422
[INFO] [1635290312.205763]: time = 0.8925, name = right_w1,  value = -0.26921
[INFO] [1635290312.206047]: time = 0.8925, name = right_w2,  value = -1.98267
[INFO] [1635290312.211156]: time = 0.8994, name = left_s0,  value = -0.62011
[INFO] [1635290312.211794]: time = 0.8994, name = left_s1,  value = -0.17104
[INFO] [1635290312.212236]: time = 0.8994, name = left_e0,  value = -0.11006
[INFO] [1635290312.212543]: time = 0.8994, name = left_e1,  value = 1.77903
[INFO] [1635290312.212849]: time = 0.8994, name = left_w0,  value = -0.23393
[INFO] [1635290312.213194]: time = 0.8994, name = left_w1,  value = -0.30334
[INFO] [1635290312.213515]: time = 0.8994, name = left_w2,  value = 1.98420
[INFO] [1635290312.213835]: time = 0.9021, name = right_s0,  value = 0.63085
[INFO] [1635290312.214130]: time = 0.9021, name = right_s1,  value = -0.18331
[INFO] [1635290312.214481]: time = 0.9021, name = right_e0,  value = 0.10393
[INFO] [1635290312.214802]: time = 0.9021, name = right_e1,  value = 1.77367
[INFO] [1635290312.215111]: time = 0.9021, name = right_w0,  value = -0.01342
[INFO] [1635290312.215396]: time = 0.9021, name = right_w1,  value = -0.27228
[INFO] [1635290312.215665]: time = 0.9021, name = right_w2,  value = -1.98037
[INFO] [1635290312.221028]: time = 0.9093, name = left_s0,  value = -0.62011
[INFO] [1635290312.221345]: time = 0.9093, name = left_s1,  value = -0.17296
[INFO] [1635290312.221832]: time = 0.9093, name = left_e0,  value = -0.11236
[INFO] [1635290312.222121]: time = 0.9093, name = left_e1,  value = 1.77788
[INFO] [1635290312.222389]: time = 0.9093, name = left_w0,  value = -0.23317
[INFO] [1635290312.222701]: time = 0.9093, name = left_w1,  value = -0.30565
[INFO] [1635290312.223001]: time = 0.9093, name = left_w2,  value = 1.98305
[INFO] [1635290312.223297]: time = 0.9116, name = right_s0,  value = 0.63238
[INFO] [1635290312.223579]: time = 0.9116, name = right_s1,  value = -0.18446
[INFO] [1635290312.223910]: time = 0.9116, name = right_e0,  value = 0.10584
[INFO] [1635290312.224199]: time = 0.9116, name = right_e1,  value = 1.77213
[INFO] [1635290312.224489]: time = 0.9116, name = right_w0,  value = -0.02224
[INFO] [1635290312.224763]: time = 0.9116, name = right_w1,  value = -0.27535
[INFO] [1635290312.225038]: time = 0.9116, name = right_w2,  value = -1.98037
[INFO] [1635290312.230979]: time = 0.9192, name = left_s0,  value = -0.61896
[INFO] [1635290312.231890]: time = 0.9192, name = left_s1,  value = -0.17449
[INFO] [1635290312.232436]: time = 0.9192, name = left_e0,  value = -0.11198
[INFO] [1635290312.232774]: time = 0.9192, name = left_e1,  value = 1.77712
[INFO] [1635290312.233099]: time = 0.9192, name = left_w0,  value = -0.23393
[INFO] [1635290312.233514]: time = 0.9192, name = left_w1,  value = -0.30948
[INFO] [1635290312.233876]: time = 0.9192, name = left_w2,  value = 1.98382
[INFO] [1635290312.234216]: time = 0.9225, name = right_s0,  value = 0.63277
