[INFO] [1635290356.361769]: time = 0.8921, name = left_s0,  value = -0.63814
[INFO] [1635290356.362752]: time = 0.8921, name = left_s1,  value = -0.15148
[INFO] [1635290356.363457]: time = 0.8921, name = left_e0,  value = -0.07517
[INFO] [1635290356.364269]: time = 0.8921, name = left_e1,  value = 1.77980
[INFO] [1635290356.364947]: time = 0.8921, name = left_w0,  value = -0.25886
[INFO] [1635290356.365648]: time = 0.8921, name = left_w1,  value = -0.26308
[INFO] [1635290356.366561]: time = 0.8921, name = left_w2,  value = 2.00836
[INFO] [1635290356.368299]: time = 0.8985, name = right_s0,  value = 0.63699
[INFO] [1635290356.369114]: time = 0.8985, name = right_s1,  value = -0.16299
[INFO] [1635290356.369774]: time = 0.8985, name = right_e0,  value = 0.07938
[INFO] [1635290356.370412]: time = 0.8985, name = right_e1,  value = 1.81125
[INFO] [1635290356.371061]: time = 0.8985, name = right_w0,  value = 0.20287
[INFO] [1635290356.372443]: time = 0.8985, name = right_w1,  value = -0.22665
[INFO] [1635290356.372884]: time = 0.8985, name = right_w2,  value = -2.00338
[INFO] [1635290356.373284]: time = 0.9038, name = left_s0,  value = -0.63814
[INFO] [1635290356.373556]: time = 0.9038, name = left_s1,  value = -0.15225
[INFO] [1635290356.373814]: time = 0.9038, name = left_e0,  value = -0.07517
[INFO] [1635290356.374052]: time = 0.9038, name = left_e1,  value = 1.78057
[INFO] [1635290356.374293]: time = 0.9038, name = left_w0,  value = -0.25963
[INFO] [1635290356.374530]: time = 0.9038, name = left_w1,  value = -0.26461
[INFO] [1635290356.374765]: time = 0.9038, name = left_w2,  value = 2.00875
[INFO] [1635290356.374980]: time = 0.9055, name = right_s0,  value = 0.63814
[INFO] [1635290356.375180]: time = 0.9055, name = right_s1,  value = -0.16260
[INFO] [1635290356.375382]: time = 0.9055, name = right_e0,  value = 0.08053
[INFO] [1635290356.375584]: time = 0.9055, name = right_e1,  value = 1.81201
[INFO] [1635290356.375780]: time = 0.9055, name = right_w0,  value = 0.19865
[INFO] [1635290356.375983]: time = 0.9055, name = right_w1,  value = -0.22818
[INFO] [1635290356.376205]: time = 0.9055, name = right_w2,  value = -2.00338
[INFO] [1635290356.381242]: time = 0.9117, name = left_s0,  value = -0.63814
[INFO] [1635290356.381522]: time = 0.9117, name = left_s1,  value = -0.15186
[INFO] [1635290356.381779]: time = 0.9117, name = left_e0,  value = -0.07517
[INFO] [1635290356.382281]: time = 0.9117, name = left_e1,  value = 1.78210
[INFO] [1635290356.382641]: time = 0.9117, name = left_w0,  value = -0.25924
[INFO] [1635290356.382938]: time = 0.9117, name = left_w1,  value = -0.26653
[INFO] [1635290356.383240]: time = 0.9117, name = left_w2,  value = 2.00913
[INFO] [1635290356.383548]: time = 0.9140, name = right_s0,  value = 0.63699
[INFO] [1635290356.384064]: time = 0.9140, name = right_s1,  value = -0.16299
[INFO] [1635290356.384460]: time = 0.9140, name = right_e0,  value = 0.08092
[INFO] [1635290356.384755]: time = 0.9140, name = right_e1,  value = 1.81317
[INFO] [1635290356.385043]: time = 0.9140, name = right_w0,  value = 0.19021
[INFO] [1635290356.385327]: time = 0.9140, name = right_w1,  value = -0.23317
[INFO] [1635290356.385621]: time = 0.9140, name = right_w2,  value = -2.00300
[INFO] [1635290356.391243]: time = 0.9217, name = left_s0,  value = -0.63699
[INFO] [1635290356.391786]: time = 0.9217, name = left_s1,  value = -0.15225
[INFO] [1635290356.392115]: time = 0.9217, name = left_e0,  value = -0.07517
[INFO] [1635290356.392432]: time = 0.9217, name = left_e1,  value = 1.78325
[INFO] [1635290356.392759]: time = 0.9217, name = left_w0,  value = -0.25924
[INFO] [1635290356.393069]: time = 0.9217, name = left_w1,  value = -0.26960
[INFO] [1635290356.393388]: time = 0.9217, name = left_w2,  value = 2.00875
[INFO] [1635290356.393755]: time = 0.9242, name = right_s0,  value = 0.63814
