GN_CRS2_LM
pars = [-0.64213268, 0.33356569 ,-0.46185895, -0.38859129, 0.48006301 , -0.74097092 , 1.34714252 , 0.72278278 , 0.2171941 ] # CRS
[time] 0.0401082 [tau_L]  (-1.990340, 1.205855, -0.433432, -0.614101, 0.297074, 1.817958, -0.071380)
[time] 0.0401082 [qo_R]   (0.786932, 0.404323, -0.014956, 1.411374, -0.046403, 0.387698, -1.582301)
[time] 0.0401082 [dqo_R]  (0.000000, -0.019450, 0.000000, -0.020033, 0.000000, -0.015791, 0.000000)
[time] 0.0401082 [q_R]    (0.758937, 0.317151, 0.054456, 1.421233, -0.277267, 0.232015, -1.674340)
[time] 0.0401082 [dq_R]   (-0.016493, -0.034165, 0.008639, 0.006283, 0.012959, 0.020420, 0.014923)
[time] 0.0401082 [tau_R]  (0.469407, 1.351737, -0.569124, -0.151226, 0.684817, 1.484415, 0.133582)
[time] 0.0501120 [qo_L]   (-0.786932, 0.404078, 0.014956, 1.411121, 0.046403, 0.387499, 1.582301)
[time] 0.0501120 [dqo_L]  (0.000000, -0.029900, 0.000000, -0.030796, 0.000000, -0.024274, 0.000000)
[time] 0.0501120 [q_L]    (-0.654243, 0.321369, 0.068262, 1.467636, -0.049471, 0.204019, 1.637908)
[time] 0.0501120 [dq_L]   (-0.013744, 0.014923, -0.011388, -0.008247, -0.013744, -0.021598, 0.032201)
[time] 0.0501120 [tau_L]  (-1.949107, 1.106172, -0.408225, -0.610245, 0.295868, 1.829447, -0.093071)
[time] 0.0501120 [qo_R]   (0.786932, 0.404078, -0.014956, 1.411121, -0.046403, 0.387499, -1.582301)
[time] 0.0501120 [dqo_R]  (0.000000, -0.029900, 0.000000, -0.030796, 0.000000, -0.024274, 0.000000)
[time] 0.0501120 [q_R]    (0.759320, 0.317534, 0.054073, 1.422000, -0.277267, 0.231248, -1.674340)
[time] 0.0501120 [dq_R]   (-0.000785, 0.028274, -0.002749, 0.022777, -0.014530, 0.001963, 0.007854)
[time] 0.0501120 [tau_R]  (0.416531, 1.123641, -0.547835, -0.215932, 0.701310, 1.510042, 0.135702)
[time] 0.0600982 [qo_L]   (-0.786932, 0.403719, 0.014956, 1.410752, 0.046403, 0.387208, 1.582301)
[time] 0.0600982 [dqo_L]  (0.000000, -0.042344, 0.000000, -0.043613, 0.000000, -0.034377, 0.000000)
[time] 0.0600982 [q_L]    (-0.654243, 0.321369, 0.067879, 1.468403, -0.049854, 0.204019, 1.638675)
[time] 0.0600982 [dq_L]   (-0.023169, -0.006283, -0.014923, -0.014923, -0.005105, -0.010996, 0.017671)
[time] 0.0600982 [tau_L]  (-1.920832, 1.127070, -0.399503, -0.633896, 0.291835, 1.785121, -0.089862)
[time] 0.0600982 [qo_R]   (0.786932, 0.403719, -0.014956, 1.410752, -0.046403, 0.387208, -1.582301)
[time] 0.0600982 [dqo_R]  (0.000000, -0.042344, 0.000000, -0.043613, 0.000000, -0.034377, 0.000000)
[time] 0.0600982 [q_R]    (0.758937, 0.317151, 0.054456, 1.422000, -0.277267, 0.231631, -1.674340)
[time] 0.0600982 [dq_R]   (0.007461, 0.021206, 0.003534, 0.001571, -0.015708, -0.010996, -0.010210)
[time] 0.0600982 [tau_R]  (0.397543, 1.107880, -0.560956, -0.202854, 0.702017, 1.509004, 0.141121)
[time] 0.0701551 [qo_L]   (-0.786932, 0.403222, 0.014956, 1.410240, 0.046403, 0.386804, 1.582301)
[time] 0.0701551 [dqo_L]  (0.000000, -0.056804, 0.000000, -0.058506, 0.000000, -0.046116, 0.000000)
[time] 0.0701551 [q_L]    (-0.654626, 0.321752, 0.068262, 1.468403, -0.049854, 0.204786, 1.637524)
[time] 0.0701551 [dq_L]   (-0.021206, 0.012566, 0.012174, 0.009032, 0.000393, -0.002749, 0.011388)
[time] 0.0701551 [tau_L]  (-1.920970, 1.013936, -0.445925, -0.716710, 0.288536, 1.733445, -0.086251)
[time] 0.0701551 [qo_R]   (0.786932, 0.403222, -0.014956, 1.410240, -0.046403, 0.386804, -1.582301)
[time] 0.0701551 [dqo_R]  (0.000000, -0.056804, 0.000000, -0.058506, 0.000000, -0.046116, 0.000000)
[time] 0.0701551 [q_R]    (0.758553, 0.317534, 0.054840, 1.421233, -0.276500, 0.232015, -1.674724)
[time] 0.0701551 [dq_R]   (0.020420, -0.015315, 0.028667, -0.008247, 0.018850, 0.006283, -0.011388)
[time] 0.0701551 [tau_R]  (0.364419, 1.160857, -0.604236, -0.210453, 0.678982, 1.443099, 0.142050)
[time] 0.0801036 [qo_L]   (-0.786932, 0.402578, 0.014956, 1.409577, 0.046403, 0.386282, 1.582301)
[time] 0.0801036 [dqo_L]  (0.000000, -0.072907, 0.000000, -0.075091, 0.000000, -0.059189, 0.000000)
[time] 0.0801036 [q_L]    (-0.655010, 0.320985, 0.068262, 1.469170, -0.049854, 0.204786, 1.639058)
